kind,subtype,level,main,answers,keyword,prompt,tag_list
sentence_cloze,sc_reported_speech,B2,Sarah * his bicycle outside overnight.,warned Jack || not to leave,WARNED,"""Don't leave your bicycle outside overnight,"" Sarah told Jack.","reported_speech, reporting_verbs"
sentence_cloze,sc_reported_speech,B2,The park ranger * the animals.,warned everyone || not to feed,WARNED,"""Don't feed the animals,"" the park ranger told everyone.","reported_speech, reporting_verbs"
sentence_cloze,sc_reported_speech,B2,The worker * the wet paint.,warned me || not to touch,WARNED,"""Don't touch the wet paint,"" the worker told me.","reported_speech, reporting_verbs"
sentence_cloze,sc_fixed_expression,B2,We couldn't * from the shopping centre.,"find our  || way home, find the || way home",WAY,We got lost coming home from the shopping centre.,"fixed_expressions, collocations, collocations_find"
sentence_cloze,sc_fixed_expression,B2,We couldn't * from the campsite.,"find our || way back, find the || way back",WAY,We got lost on our way back from the campsite.,"fixed_expressions, collocations, collocations_find"
sentence_cloze,sc_verb_patterns,B2,Jake had * the maths problem.,"no difficulty || solving, no difficulty || in solving, little difficulty || solving, little difficulty || in solving",DIFFICULTY,Jake didn't find it difficult to solve the maths problem.,"verb_patterns, using_gerund, adj_to_noun"
sentence_cloze,sc_verb_patterns,B2,Daniel had * all the questions.,"no difficulty || answering, no difficulty || in answering, little difficulty || answering, little difficulty || in answering",DIFFICULTY,Daniel didn't find it difficult to answer all the questions.,"verb_patterns, using_gerund, adj_to_noun"
sentence_cloze,sc_verb_patterns,B2,Olivia had * the project on time.,"no difficulty || completing, no difficulty || in completing, little difficulty || completing, little difficulty || in completing",DIFFICULTY,Olivia didn't find it difficult to complete the project on time.,"verb_patterns, using_gerund, adj_to_noun"
sentence_cloze,sc_structure_change,B2,The witness * of the accident.,gave me || a detailed description,DETAILED,The witness described the accident to me in detail.,"structure_change, verb_to_noun, collocations, collocations_verb_noun"
sentence_cloze,sc_structure_change,B2,The guide * of the old castle.,gave Ben || a detailed description,DETAILED,The guide described the old castle to Ben in detail.,"structure_change, verb_to_noun, collocations, collocations_verb_noun"
sentence_cloze,sc_structure_change,B2,Our teacher * of the experiment.,gave us || a detailed description,DETAILED,Our teacher described the experiment to us in detail.,"structure_change, verb_to_noun, collocations, collocations_verb_noun"
sentence_cloze,sc_unreal_past,B2,I wish that * our grandparents more often.,"we could have || visited, we could've || visited",COULD,It's a pity we didn't visit our grandparents more often.,"unreal_past, wishes"
sentence_cloze,sc_unreal_past,B2,I wish that * to play the guitar at school.,"I could have || learned, I could've || learned",COULD,It's a pity I didn't learn to play the guitar at school.,"unreal_past, wishes"
sentence_cloze,sc_unreal_past,B2,I wish that * abroad more when we were children.,"we could have || travelled, we could've || travelled",COULD,It's a pity we didn't travel abroad more when we were children.,"unreal_past, wishes"
sentence_cloze,sc_fixed_expression,B2,The directions to the campsite didn't * me.,"make || sense to, make much || sense to, make any || sense to",SENSE,I couldn't understand the directions to the campsite.,"fixed_expressions, collocations, collocations_verb_noun"
sentence_cloze,sc_fixed_expression,B2,The teacher's explanation didn't * me.,"make || sense to, make much || sense to, make any || sense to",SENSE,I couldn't understand the explanation the teacher gave us.,"fixed_expressions, collocations, collocations_verb_noun"
sentence_cloze,sc_fixed_expression,B2,The information on the website didn't * me.,"make || sense to, make much || sense to, make any || sense to",SENSE,I couldn't understand the information on the website.,"fixed_expressions, collocations, collocations_verb_noun"
sentence_cloze,sc_stative_verbs,B2,It * Emma has forgotten about our meeting.,"seems || as if, seems || as though, appears || as if, appears || as though, looks || as if, looks || as though",AS,Emma appears to have forgotten about our meeting.,"like_or_as, stative_verbs"
sentence_cloze,sc_stative_verbs,B2,It * Ben has left his keys at home.,"seems || as if, seems || as though, appears || as if, appears || as though, looks || as if, looks || as though",AS,Ben appears to have left his keys at home.,"like_or_as, stative_verbs"
sentence_cloze,sc_stative_verbs,B2,It * they have booked the wrong hotel.,"seems || as if, seems || as though, appears || as if, appears || as though, looks || as if, looks || as though",AS,They appear to have booked the wrong hotel.,"like_or_as, stative_verbs"
sentence_cloze,sc_relative_clauses,B2,James * ideas I always admire.,is somebody || whose,SOMEBODY,I always admire James's ideas.,"relative_clauses, relative_pronouns"
sentence_cloze,sc_relative_clauses,B2,My grandfather * opinions I always value.,is somebody || whose,SOMEBODY,I always value my grandfather's opinions.,"relative_clauses, relative_pronouns"
sentence_cloze,sc_relative_clauses,B2,Daniel * decisions I always respect.,is somebody || whose,SOMEBODY,I always respect Daniel's decisions.,"relative_clauses, relative_pronouns"
sentence_cloze,sc_intensifiers,B2,The instructions were * us to follow.,"too confusing || for, too confusing || for any of",TOO,The instructions were so confusing that none of us could follow them.,intensifiers
sentence_cloze,sc_intensifiers,B2,The puzzle was * Jake to solve.,"too complicated || for, too complicated || for any of",TOO,The puzzle was so complicated that Jake couldn't solve it.,intensifiers
sentence_cloze,sc_intensifiers,B2,The mountain was * the hikers to climb.,"too steep || for, too steep || for any of",TOO,The mountain was so steep that the hikers couldn't climb it.,intensifiers
sentence_cloze,sc_verb_patterns,B2,Mia * delete her brother's homework.,didn't || mean to,MEAN,Mia deleted her brother's homework by accident.,"verb_patterns, using_infinitive"
sentence_cloze,sc_verb_patterns,B2,Ben * break his sister's favourite mug.,didn't || mean to,MEAN,Ben broke his sister's favourite mug by accident.,"verb_patterns, using_infinitive"
sentence_cloze,sc_verb_patterns,B2,Sophie * throw away the receipt.,didn't || mean to,MEAN,Sophie threw away the receipt by accident.,"verb_patterns, using_infinitive"
sentence_cloze,sc_structure_change,B2,I've already * my sister's birthday party.,"made arrangements || for, made the arrangements || for, made my arrangements || for",ARRANGEMENTS,I've already planned my sister's birthday party.,"structure_change, collocations, collocations_verb_noun"
sentence_cloze,sc_structure_change,B2,We've already * our trip to Scotland.,"made arrangements || for, made the arrangements || for, made my arrangements || for",ARRANGEMENTS,We've already planned our trip to Scotland.,"structure_change, collocations, collocations_verb_noun"
sentence_cloze,sc_structure_change,B2,I've already * our family reunion.,"made arrangements || for, made the arrangements || for, made my arrangements || for",ARRANGEMENTS,I've already planned our family reunion.,"structure_change, collocations, collocations_verb_noun"
sentence_cloze,sc_reported_speech,B2,This restaurant * the best pizza in town.,is said || to serve,SAID,They say this restaurant serves the best pizza in town.,"reported_speech, passive_reporting"
sentence_cloze,sc_reported_speech,B2,The new manager * very long hours.,is said || to work,SAID,They say the new manager works very long hours.,"reported_speech, passive_reporting"
sentence_cloze,sc_reported_speech,B2,The company * developing a new mobile app.,is said || to be,SAID,They say the company is developing a new mobile app.,"reported_speech, passive_reporting"
sentence_cloze,sc_conditional,B2,If Ben had * passed the test.,"not panicked || he would have, not panicked || he would've, not panicked || he'd have",NOT,Ben only failed the test because he panicked.,"conditional, third_conditional"
sentence_cloze,sc_conditional,B2,If the weather had * reached the summit.,"not changed || we would have, not changed || we would've, not changed || we'd have",NOT,We only failed to reach the summit because the weather changed.,"conditional, third_conditional"
sentence_cloze,sc_conditional,B2,If Emma had * caught the bus.,"not overslept || she would have, not overslept || she'd have, not overslept || she would've ",NOT,Emma only missed the bus because she overslept.,"conditional, third_conditional"
sentence_cloze,sc_passive,B2,Tom * by a professional photographer.,had his picture || taken,HAD,A professional photographer took Tom's picture.,"passive, causative"
sentence_cloze,sc_passive,B2,Jack * by a mechanic.,had his motorbike || serviced,HAD,A mechanic serviced Jack's motorbike.,"passive, causative"
sentence_cloze,sc_passive,B2,Emily * yesterday by a hairdresser.,had her hair || touched up,HAD,A hairdresser touched up Emily's hair yesterday.,"passive, causative"
sentence_cloze,sc_stative_verbs,B2,Tom * his glasses.,seems to || have broken,SEEMS,It looks as if Tom has broken his glasses.,stative_verbs
sentence_cloze,sc_stative_verbs,B2,Ben * his keys.,seems to || have lost,SEEMS,It looks as if Ben has lost his keys.,stative_verbs
sentence_cloze,sc_stative_verbs,B2,Daniel * his wallet.,seems to || have forgotten,SEEMS,It looks as if Daniel has forgotten his wallet.,stative_verbs
sentence_cloze,sc_verb_patterns,B2,The collapsed bridge * the village.,"prevented us || from reaching, prevented || our reaching",PREVENTED,We couldn't reach the village because the bridge had collapsed.,"verb_patterns, dependent_prep"
